year,nominal_gdp,growth_rate
1,22002248.04,N/A
2,23377240.11,6.25
3,25478360.88,8.99
4,27053023.33,6.18
5,28767540.40,6.34
6,30038144.78,4.42
7,30743238.52,2.35
8,29596409.81,-3.73
9,26980210.36,-8.84
10,26313245.74,-2.47
11,27278150.01,3.67
12,28267764.41,3.63
13,29303753.54,3.66
14,29317580.21,0.05
15,29290889.29,-0.09
16,28256811.84,-3.53
17,27483877.64,-2.74
18,26510565.48,-3.54
19,27221369.99,2.68
20,27568636.66,1.28
