year,growth_rate
2,6.25
3,8.99
4,6.18
5,6.34
6,4.42
7,2.35
8,-3.73
9,-8.84
10,-2.47
11,3.67
12,3.63
13,3.66
14,0.05
15,-0.09
16,-3.53
17,-2.74
18,-3.54
19,2.68
20,1.28
